Row Labels,Sum of usd pledged,,,,,,,,,
Art,71341309.82,,Row Labels,Count of category,,,,,,
Comics,57816918.4,,3D Printing,683,,,,,Row Labels,Average of usd pledged
Crafts,10387490.16,,Academic,916,,,,,Art,2534.05711
Dance,11161583.89,,Accessories,3165,,,,,Comics,5344.016859
Design,512132010,,Action,740,,,,,Crafts,1179.190619
Fashion,97629228.88,,Animals,255,,,,,Dance,2962.990149
Film & Video,346876031,,Animation,2541,,,,,Design,17033.02657
Food,103560172.7,,Anthologies,784,,,,,Fashion,4279.731233
Games,574402020.9,,Apparel,7166,,,,,Film & Video,5532.57781
Journalism,10252217.02,,Apps,6345,,,,,Food,4209.934253
Music,166265791.1,,Architecture,760,,,,,Games,16306.19488
Photography,30171720,,Art,8253,,,,,Journalism,2156.54544
Publishing,103713884.1,,Art Books,2676,,,,,Music,3356.870405
Technology,503320829.4,,Audio,410,,,,,Photography,2799.380219
Theater,38785122.71,,Bacon,221,,,,,Publishing,2633.735852
(blank),,,Blues,268,,,,,Technology,15457.30696
Grand Total,2637816330,,Calendars,329,,,,,Theater,3554.355087
,,,Camera Equipment,416,,,,,(blank),
,,,Candles,429,,,,,Grand Total,7036.728867
,,,Ceramics,305,,,,,,
,,,Children's Books,6756,,,,,,
,,,Childrenswear,483,,,,,,
,,,Chiptune,35,,,,,,
,,,Civic Design,289,,,,,,
,,,Classical Music,2613,,,,,,
,,,Comedy,2320,,,,,,
,,,Comic Books,2743,,,,,,
,,,Comics,4996,,,,,,
,,,Community Gardens,298,,,,,,
,,,Conceptual Art,1030,,,,,,
,,,Cookbooks,540,,,,,,
,,,Country & Folk,4451,,,,,,
,,,Couture,275,,,,,,
,,,Crafts,4664,,,,,,
,,,Crochet,162,,,,,,
,,,Dance,2322,,,,,,
,,,Design,4199,,,,,,
,,,Digital Art,1346,,,,,,
,,,DIY,1173,,,,,,
,,,DIY Electronics,902,,,,,,
,,,Documentary,16139,,,,,,
,,,Drama,2179,,,,,,
,,,Drinks,2422,,,,,,
,,,Electronic Music,2170,,,,,,
,,,Embroidery,113,,,,,,
,,,Events,818,,,,,,
,,,Experimental,924,,,,,,
,,,Fabrication Tools,250,,,,,,
,,,Faith,1092,,,,,,
,,,Family,336,,,,,,
,,,Fantasy,345,,,,,,
,,,Farmer's Markets,424,,,,,,
,,,Farms,1154,,,,,,
,,,Fashion,8554,,,,,,
,,,Festivals,839,,,,,,
,,,Fiction,9169,,,,,,
,,,Film & Video,10108,,,,,,
,,,Fine Art,776,,,,,,
,,,Flight,426,,,,,,
,,,Food,11493,,,,,,
,,,Food Trucks,1752,,,,,,
,,,Footwear,931,,,,,,
,,,Gadgets,2965,,,,,,
,,,Games,3226,,,,,,
,,,Gaming Hardware,428,,,,,,
,,,Glass,138,,,,,,
,,,Graphic Design,2002,,,,,,
,,,Graphic Novels,1864,,,,,,
,,,Hardware,3663,,,,,,
,,,Hip-Hop,3912,,,,,,
,,,Horror,1287,,,,,,
,,,Illustration,3175,,,,,,
,,,Immersive,330,,,,,,
,,,Indie Rock,5657,,,,,,
,,,Installations,482,,,,,,
,,,Interactive Design,398,,,,,,
,,,Jazz,1850,,,,,,
,,,Jewelry,1239,,,,,,
,,,Journalism,1747,,,,,,
,,,Kids,285,,,,,,
,,,Knitting,181,,,,,,
,,,Latin,137,,,,,,
,,,Letterpress,49,,,,,,
,,,Literary Journals,278,,,,,,
,,,Literary Spaces,27,,,,,,
,,,Live Games,1050,,,,,,
,,,Makerspaces,238,,,,,,
,,,Metal,717,,,,,,
,,,Mixed Media,2757,,,,,,
,,,Mobile Games,1789,,,,,,
,,,Movie Theaters,232,,,,,,
,,,Music,15727,,,,,,
,,,Music Videos,709,,,,,,
,,,Musical,913,,,,,,
,,,Narrative Film,5188,,,,,,
,,,Nature,574,,,,,,
,,,Nonfiction,8318,,,,,,
,,,Painting,3294,,,,,,
,,,People,1103,,,,,,
,,,Performance Art,2154,,,,,,
,,,Performances,1013,,,,,,
,,,Periodicals,1265,,,,,,
,,,Pet Fashion,139,,,,,,
,,,Photo,196,,,,,,
,,,Photobooks,1580,,,,,,
,,,Photography,5752,,,,,,
,,,Places,739,,,,,,
,,,Playing Cards,2497,,,,,,
,,,Plays,1378,,,,,,
,,,Poetry,1369,,,,,,
,,,Pop,3350,,,,,,
,,,Pottery,100,,,,,,
,,,Print,727,,,,,,
,,,Printing,238,,,,,,
,,,Product Design,22314,,,,,,
,,,Public Art,3077,,,,,,
,,,Publishing,6018,,,,,,
,,,Punk,317,,,,,,
,,,Puzzles,231,,,,,,
,,,Quilts,81,,,,,,
,,,R&B,458,,,,,,
,,,Radio & Podcasts,923,,,,,,
,,,Ready-to-wear,864,,,,,,
,,,Residencies,69,,,,,,
,,,Restaurants,2819,,,,,,
,,,Robots,572,,,,,,
,,,Rock,6758,,,,,,
,,,Romance,190,,,,,,
,,,Science Fiction,744,,,,,,
,,,Sculpture,1810,,,,,,
,,,Shorts,12357,,,,,,
,,,Small Batch,1808,,,,,,
,,,Software,3048,,,,,,
,,,Sound,669,,,,,,
,,,Space Exploration,323,,,,,,
,,,Spaces,841,,,,,,
,,,Stationery,219,,,,,,
,,,Tabletop Games,14180,,,,,,
,,,Taxidermy,13,,,,,,
,,,Technology,6930,,,,,,
,,,Television,1015,,,,,,
,,,Textiles,276,,,,,,
,,,Theater,7057,,,,,,
,,,Thrillers,746,,,,,,
,,,Translations,153,,,,,,
,,,Typography,108,,,,,,
,,,Vegan,588,,,,,,
,,,Video,428,,,,,,
,,,Video Art,194,,,,,,
,,,Video Games,11830,,,,,,
,,,Wearables,1233,,,,,,
,,,Weaving,93,,,,,,
,,,Web,5153,,,,,,
,,,Webcomics,648,,,,,,
,,,Webseries,5762,,,,,,
,,,Woodworking,1167,,,,,,
,,,Workshops,164,,,,,,
,,,World Music,2102,,,,,,
,,,Young Adult,821,,,,,,
,,,Zines,391,,,,,,
,,,(blank),,,,,,,
,,,Grand Total,378661,,,,,,
